실험,조건,평균속력_cm_s,속력_U95,질량_g,수직항력_N,평균힘_N,힘_U95,마찰계수,마찰계수_전파U95
I,1.5V,3.8289999999999997,0.11438007881749321,,,1.3017,0.023202401493129885,,
I,2.0V,6.101,0.10761836098759664,,,1.3246,0.023591598780142314,,
I,2.5V,8.248,0.07892735176003955,,,1.3301,0.018990895835259754,,
I,3.0V,10.318,0.09141155379979057,,,1.3513,0.015687370823893727,,
I,3.5V,12.105,0.10323910759175622,,,1.3893,0.022292548504156257,,
I,4.0V,14.16,0.11628064833762748,,,1.3887,0.008457832899845438,,
I,4.5V,16.392,0.11587898686682702,,,1.405,0.026585025654824245,,
I,5.0V,18.308,0.09028498195665749,,,1.4557,0.01752600087634982,,
II-A,Empty,,,191.44,1.87572912,0.21933333333333332,0.029111437332078393,0.11693230701314342,0.01553228079487335
II-A,+1bar,,,443.8,4.3483524000000005,0.49233333333333335,0.04129450892509473,0.1132229608008158,0.009501689903627234
II-A,+2bar,,,696.0,6.819407999999999,0.7406666666666667,0.06096690055466605,0.10861157840485079,0.008943325297382157
II-A,+3bar,,,945.6,9.2649888,0.9836666666666666,0.051711450127367276,0.10617030283584009,0.005583628472374515
II-A,+4bar,,,1194.53,11.704004939999999,1.2523333333333333,0.11556803844911476,0.10700041052215528,0.009876021656016207
II-B,Plastic,,,443.49,4.34531502,0.48233333333333334,0.052127446278088796,0.11100077465346421,0.012001246802559757
II-B,Felt,,,433.96,4.25194008,0.893,0.04600687425582925,0.2100217743425961,0.010829886888417633
II-B,Cork,,,441.77,4.32846246,1.1843333333333332,0.03480748847090785,0.27361524889679495,0.008053923636219238
II-C,a,,,686.33,6.72466134,0.7383333333333333,0.020232128691015695,0.10979487233677307,0.003011845960736338
II-C,2a,,,878.65,8.6090127,1.0506666666666666,0.016909175850458754,0.12204264336451341,0.001966902816492821
II-D,Plastic,,,695.88,6.8182322399999995,1.4156666666666666,0.3007995707662948,0.20762957564887327,0.0441229115214091
II-D,Felt,,,686.34,6.72475932,1.8639999999999999,0.31457462801160485,0.27718464130847137,0.046786647691343046
II-D,Cork,,,694.16,6.80137968,3.626333333333333,0.22824796583332868,0.5331761354239428,0.033574430155739576

회귀,기울기,절편,R2,기울기_95반폭,절편_95반폭
fitI,0.009795603309654457,1.2587594415393755,0.9462680155315567,0.002331756780329895,0.028286564748140224
fitA,0.1040701968871085,0.02972950076913039,0.9996015323865779,0.0038177711471950684,0.029163104060651174
